Date,Symbol,Company_Name,Open,High,Low,Close,Volume,Previous_Close,Change,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,SMA_20,SMA_50,BB_Upper,BB_Middle,BB_Lower,Volume_MA_20,OBV,Return_1d,Return_2d,Return_5d,Volatility_20d
2016-01-01,PTC,PTC,10.27252347397836,10.39095702982726,10.27252347397836,10.334856986999512,808000,10.334856986999512,0.0,,0.0,0.0,0.0,,,,,,,,808000.0,,,,
2016-01-04,PTC,PTC,10.347324321039109,10.403424366001124,10.16032377486142,10.19149112701416,769500,10.334856986999512,-0.14336585998535156,0.0,-0.011436592819343616,-0.0022873185638687234,-0.009149274255474894,,,,,,,,38500.0,-1.387207004080417,,,
2016-01-05,PTC,PTC,10.14162487370868,10.191491449819624,10.035658250858813,10.160324096679688,404500,10.19149112701416,-0.031167030334472656,0.0,-0.02275281362677184,-0.006380417576449347,-0.016372396050322494,,,,,,,,-366000.0,-0.3058142321476345,-1.6887789597802245,,
2016-01-06,PTC,PTC,10.191490988440616,10.222657151256673,10.048124737226113,10.066823959350586,1226500,10.160324096679688,-0.09350013732910156,0.0,-0.03881820768019395,-0.012867975597198269,-0.025950232082995683,,,,,,,,-1592500.0,-0.9202475869805832,-1.2232475710362358,,
2016-01-07,PTC,PTC,9.973324114284631,10.085524200796394,9.910990600787777,10.04189109802246,453000,10.066823959350586,-0.024932861328126776,0.0,-0.052951628338762546,-0.020884706145511127,-0.03206692219325142,,,,,,,,-2045500.0,-0.247673560487445,-1.1656419375040536,,
2016-01-08,PTC,PTC,10.066824356231908,10.066824356231908,9.904758282047077,9.923458099365234,872000,10.04189109802246,-0.11843299865722479,0.0,-0.07286903041897119,-0.031281571000203144,-0.04158745941876805,,,,,,,,-2917500.0,-1.1793893948974181,-1.4241419196785094,-3.980692603214411,
2016-01-11,PTC,PTC,10.035657293129516,10.041890763162629,9.848657353331149,9.854890823364258,574500,9.923458099365234,-0.06856727600097656,0.0,-0.0931131705283974,-0.04364789090584199,-0.04946527962255541,,,,,,,,-3492000.0,-0.6909615107395127,-1.8622017788564462,-3.3027581484881043,
2016-01-12,PTC,PTC,9.879824412700234,9.879824412700234,9.674124650936696,9.742691040039062,593000,9.854890823364258,-0.11219978332519531,0.0,-0.11686325537479014,-0.058290963799631626,-0.05857229157515852,,,,,,,,-4085000.0,-1.1385187856083483,-1.8216135697467686,-4.1104304613383755,
2016-01-13,PTC,PTC,9.723991804102209,9.854891714350154,9.630491528521404,9.66165828704834,764000,9.742691040039062,-0.08103275299072266,0.0,-0.14060324795313583,-0.07475342063033247,-0.06584982732280337,,,,,,,,-4849000.0,-0.8317286533844325,-1.9607780520287117,-4.024761671986002,
2016-01-14,PTC,PTC,9.599325752258446,9.71775932788838,9.194159633318549,9.399859428405762,1072000,9.66165828704834,-0.2617988586425781,0.0,-0.17848488045805055,-0.09549971259587609,-0.08298516786217447,,,,,,,,-5921000.0,-2.709667956209185,-3.5188595247902494,-6.393533482384928,
