Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol,Company_Name,Previous_Close,Change
2020-08-13 00:00:00+05:00,145.74119870430366,148.0238431312501,142.98335942751189,146.82736206054688,3252000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,,
2020-08-14 00:00:00+05:00,146.82736206054688,146.82736206054688,146.82736206054688,146.82736206054688,0,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,146.82736206054688,0.0
2020-08-17 00:00:00+05:00,150.1876888145691,151.24839622849967,147.6504720191353,149.9585723876953,3140500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,146.82736206054688,3.1312103271484375
2020-08-18 00:00:00+05:00,150.187689366206,151.45204432147852,145.10477475866938,147.17527770996094,3514500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,149.9585723876953,-2.783294677734375
2020-08-19 00:00:00+05:00,147.00556660328317,153.7601441656651,144.93506365916687,146.82736206054688,7042000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,147.17527770996094,-0.3479156494140625
2020-08-20 00:00:00+05:00,147.85414010045398,148.32933497461553,144.0440742125478,145.4187469482422,2658000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,146.82736206054688,-1.4086151123046875
2020-08-21 00:00:00+05:00,146.58975050670387,146.58975050670387,137.04338469946558,141.43894958496094,1694000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.4187469482422,-3.97979736328125
2020-08-24 00:00:00+05:00,142.559067033003,147.20920440361496,139.71636617185982,145.9363555908203,3001000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.43894958496094,4.497406005859375
2020-08-25 00:00:00+05:00,146.38610051811233,149.60217256893748,145.95333656519009,147.86260986328125,3510000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.9363555908203,1.9262542724609375
2020-08-26 00:00:00+05:00,148.71118493798127,152.23272850335405,141.71051574689227,143.9507293701172,6672500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,147.86260986328125,-3.9118804931640625
2020-08-27 00:00:00+05:00,143.1955033929058,145.5290597444939,139.15633415110528,140.81103515625,2563000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,143.9507293701172,-3.1396942138671875
2020-08-28 00:00:00+05:00,140.01337461981154,143.1360909417044,137.04339394605796,138.95266723632812,1697000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,140.81103515625,-1.858367919921875
2020-08-31 00:00:00+05:00,139.60607615955928,143.82345004061943,137.25554481151082,138.35018920898438,3569500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,138.95266723632812,-0.60247802734375
2020-09-01 00:00:00+05:00,139.5891057127757,142.81365907265834,139.17330371529778,141.14198303222656,3706000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,138.35018920898438,2.7917938232421875
2020-09-02 00:00:00+05:00,142.99183907779755,143.32277926996989,140.8619432715694,141.1844024658203,1488000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.14198303222656,0.04241943359375
2020-09-03 00:00:00+05:00,141.80385678589298,147.43833419041164,141.25229409621474,145.13023376464844,3577000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.1844024658203,3.945831298828125
2020-09-04 00:00:00+05:00,144.17133616966123,148.83844845582325,142.55906619549484,144.4344024658203,3164000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.13023376464844,-0.695831298828125
2020-09-07 00:00:00+05:00,145.95333486475744,148.66874315634462,145.10476896438092,146.3267059326172,2860000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,144.4344024658203,1.892303466796875
2020-09-08 00:00:00+05:00,148.32932195961212,156.05126388336197,146.3776177993367,148.62631225585938,8942000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,146.3267059326172,2.2996063232421875
2020-09-09 00:00:00+05:00,147.6504880551057,154.43901624154736,145.96183700741597,151.14657592773438,5253500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,148.62631225585938,2.520263671875
2020-09-10 00:00:00+05:00,153.59043584618857,154.65114327606554,148.10021315329814,149.12698364257812,3356000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.14657592773438,-2.01959228515625
2020-09-11 00:00:00+05:00,149.33912645111377,151.6811638157115,146.9376832548342,147.84564208984375,2193500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,149.12698364257812,-1.281341552734375
2020-09-14 00:00:00+05:00,147.14131245071982,148.90633096337325,143.99314041441033,144.7059326171875,1333500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,147.84564208984375,-3.13970947265625
2020-09-15 00:00:00+05:00,145.63089540192368,146.58977914259833,140.43767553169332,141.4304962158203,1239000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,144.7059326171875,-3.2754364013671875
2020-09-16 00:00:00+05:00,141.7189897876917,143.73858082281478,138.50293064465106,141.4983673095703,1282500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.4304962158203,0.06787109375
2020-09-17 00:00:00+05:00,143.4076527289258,144.39199238774273,140.9637785271981,141.3880615234375,633000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.4983673095703,-0.1103057861328125
2020-09-18 00:00:00+05:00,142.47422490693467,142.47422490693467,138.7490207192103,141.14198303222656,274500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.3880615234375,-0.2460784912109375
2020-09-21 00:00:00+05:00,142.11782328622562,142.11782328622562,138.31625141273915,139.5636444091797,343000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,141.14198303222656,-1.578338623046875
2020-09-22 00:00:00+05:00,140.01338379254005,140.01338379254005,137.1367456979987,139.0799560546875,686000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,139.5636444091797,-0.4836883544921875
2020-09-23 00:00:00+05:00,139.07994729735077,140.85345988759926,137.60345090255763,138.222900390625,644500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,139.0799560546875,-0.8570556640625
2020-09-24 00:00:00+05:00,137.04340078956793,137.89196673872934,131.62106489235006,133.57276916503906,880000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,138.222900390625,-4.6501312255859375
2020-09-25 00:00:00+05:00,131.5276999422472,135.7705289726423,131.5276999422472,133.17391967773438,2010000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,133.57276916503906,-0.3988494873046875
2020-09-28 00:00:00+05:00,133.64914751218765,133.64914751218765,123.18632698174845,124.16218566894531,897500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,133.17391967773438,-9.011734008789062
2020-09-29 00:00:00+05:00,124.65433530197122,130.57733507087735,121.34493321179427,127.38671875,1743500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,124.16218566894531,3.2245330810546875
2020-09-30 00:00:00+05:00,129.10930819328607,130.2633584396791,117.84035305701958,118.35797882080078,1393500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,127.38671875,-9.028739929199219
2020-10-01 00:00:00+05:00,117.10210172103098,121.34493149353209,112.86775294676285,120.40302276611328,1980000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,118.35797882080078,2.0450439453125
2020-10-02 00:00:00+05:00,120.07207838166765,123.89910604191992,112.09556386629049,114.9976577758789,1598000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,120.40302276611328,-5.405364990234375
2020-10-05 00:00:00+05:00,113.45326055997027,117.14452747967462,106.49502262732452,108.45520782470703,1883000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,114.9976577758789,-6.542449951171875
2020-10-06 00:00:00+05:00,109.46500715371494,113.02898154119488,108.27701353320683,111.87493133544922,1504500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,108.45520782470703,3.4197235107421875
2020-10-07 00:00:00+05:00,113.70783985282202,118.54466328679439,112.41801595439969,117.08512878417969,1788500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,111.87493133544922,5.210197448730469
2020-10-08 00:00:00+05:00,118.62951327917712,121.9389150505091,116.67780915460972,120.9036636352539,1902000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,117.08512878417969,3.8185348510742188
2020-10-09 00:00:00+05:00,120.49635489280836,121.98134518198029,118.4598019611791,119.56292724609375,1159000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,120.9036636352539,-1.3407363891601562
2020-10-12 00:00:00+05:00,120.41150526176106,121.13279151129159,111.16214142192084,112.03616333007812,1693000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,119.56292724609375,-7.526763916015625
2020-10-13 00:00:00+05:00,112.01070101183227,112.01070101183227,108.23458527188438,110.83967590332031,1334000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,112.03616333007812,-1.1964874267578125
2020-10-14 00:00:00+05:00,111.17060821161303,113.28354185585391,108.66734152426595,111.90037536621094,791000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,110.83967590332031,1.060699462890625
2020-10-15 00:00:00+05:00,112.64712826823718,113.07141123723243,109.93171985628535,110.2711410522461,708500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,111.90037536621094,-1.6292343139648438
2020-10-16 00:00:00+05:00,109.46500313301897,110.72937100881292,108.19215425937921,110.26265716552734,377500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,110.2711410522461,-0.00848388671875
2020-10-19 00:00:00+05:00,110.65299368922173,112.6895597194576,109.9317204071686,110.94999694824219,595500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,110.26265716552734,0.6873397827148438
2020-10-20 00:00:00+05:00,111.90037918550311,119.26593780517578,111.50155218344254,119.26593780517578,2734000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,110.94999694824219,8.315940856933594
2020-10-21 00:00:00+05:00,121.3449244874683,128.20981955547694,120.07207562920814,126.8436279296875,5305500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,119.26593780517578,7.577690124511719
2020-10-22 00:00:00+05:00,127.7091840511575,130.2548820721108,123.46635401623531,125.93568420410156,2455500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,126.8436279296875,-0.9079437255859375
2020-10-23 00:00:00+05:00,125.98657608796096,132.80055900623583,123.97547911412997,130.55186462402344,4132000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,125.93568420410156,4.616180419921875
2020-10-26 00:00:00+05:00,132.2065739981784,134.62497912094534,131.52771866705336,132.5544891357422,2840000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,130.55186462402344,2.00262451171875
2020-10-27 00:00:00+05:00,132.75813391738407,133.21636675932515,126.52118225302215,127.60734558105469,1159500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,132.5544891357422,-4.9471435546875
2020-10-28 00:00:00+05:00,127.28488588742685,130.25486655813347,125.58775407559449,127.17456817626953,1210000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,127.60734558105469,-0.43277740478515625
2020-10-29 00:00:00+05:00,125.58775583301471,126.30054809641764,117.63669732670469,117.84883880615234,1953000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,127.17456817626953,-9.325729370117188
2020-10-30 00:00:00+05:00,117.84883880615234,117.84883880615234,117.84883880615234,117.84883880615234,0,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,117.84883880615234,0.0
2020-11-02 00:00:00+05:00,116.34687946902469,116.34687946902469,110.33054991109083,112.18891143798828,894500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,117.84883880615234,-5.6599273681640625
2020-11-03 00:00:00+05:00,114.08968548581059,120.5981845459376,114.08968548581059,120.4963607788086,1881500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,112.18891143798828,8.307449340820312
2020-11-04 00:00:00+05:00,122.95721038533388,124.10277968473662,118.79924209137181,119.93631744384766,1721500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,120.4963607788086,-0.5600433349609375
2020-11-05 00:00:00+05:00,120.92065154082253,128.04860055767745,120.49636855295999,126.93698120117188,3145000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,119.93631744384766,7.000663757324219
2020-11-06 00:00:00+05:00,126.4787657769781,126.4787657769781,122.60081291468782,123.20330047607422,1226000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,126.93698120117188,-3.7336807250976562
2020-11-09 00:00:00+05:00,125.41804618277489,126.98788537364673,123.04205900546546,123.64454650878906,1616000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,123.20330047607422,0.44124603271484375
2020-11-10 00:00:00+05:00,127.0303290455891,128.51531956236673,122.7026501655481,123.3814926147461,2394500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,123.64454650878906,-0.26305389404296875
2020-11-11 00:00:00+05:00,124.27247413102845,126.42783877950265,122.0662105480638,123.46633911132812,2347500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,123.3814926147461,0.08484649658203125
2020-11-12 00:00:00+05:00,124.10277419268978,124.31491568703625,114.20849178882861,114.31880950927734,3986500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,123.46633911132812,-9.147529602050781
2020-11-13 00:00:00+05:00,113.69084602562313,122.02376867281176,111.24698524534593,117.4415054321289,4290000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,114.31880950927734,3.1226959228515625
2020-11-16 00:00:00+05:00,117.95066639092731,118.29008758979519,113.43628934706965,114.01332092285156,1313500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,117.4415054321289,-3.4281845092773438
2020-11-17 00:00:00+05:00,116.07532706877338,117.39910078685826,113.70783383752415,114.33577728271484,1190500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,114.01332092285156,0.32245635986328125
2020-11-18 00:00:00+05:00,114.45458465125513,116.08382979510527,113.26658449871958,114.86189270019531,1159000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,114.33577728271484,0.5261154174804688
2020-11-19 00:00:00+05:00,114.5563980836765,117.1020958188693,114.5563980836765,115.3455581665039,1231000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,114.86189270019531,0.48366546630859375
2020-11-20 00:00:00+05:00,114.98068197947067,115.39648394092966,112.0107012641338,112.66410064697266,559500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,115.3455581665039,-2.68145751953125
2020-11-23 00:00:00+05:00,111.28942077152567,111.28942077152567,105.62949383104825,106.622314453125,1498500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,112.66410064697266,-6.041786193847656
2020-11-24 00:00:00+05:00,108.18366893993498,109.76200856661895,104.11903734568926,107.32662200927734,1534000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,106.622314453125,0.7043075561523438
2020-11-25 00:00:00+05:00,110.10143568854053,111.50156437355217,107.1059988208767,110.10991668701172,1451500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,107.32662200927734,2.783294677734375
2020-11-26 00:00:00+05:00,111.58642224318467,114.04725831493953,110.78028718161592,113.52963256835938,2418000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,110.10991668701172,3.4197158813476562
2020-11-27 00:00:00+05:00,112.8677478748833,117.8233826670234,111.58641800247844,116.35535430908203,3906500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,113.52963256835938,2.8257217407226562
2020-11-30 00:00:00+05:00,115.32009250012136,123.04204682492018,114.96369640101963,122.17650604248047,5214500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,116.35535430908203,5.8211517333984375
2020-12-01 00:00:00+05:00,122.18500853639983,124.48461487323002,119.9023641949371,122.21046447753906,4192000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,122.17650604248047,0.03395843505859375
2020-12-02 00:00:00+05:00,121.7777026468185,129.4063156887321,120.58971541973158,127.24246978759766,6672500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,122.21046447753906,5.032005310058594
2020-12-03 00:00:00+05:00,128.13346440151895,132.97028795156103,128.13346440151895,128.82080078125,6085500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,127.24246978759766,1.5783309936523438
2020-12-04 00:00:00+05:00,129.15174012171866,137.13674913539464,128.98202951460678,135.39718627929688,8380000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,128.82080078125,6.576385498046875
2020-12-07 00:00:00+05:00,135.77054970362502,140.77708354471073,134.48072585597578,138.4435272216797,8058000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,135.39718627929688,3.0463409423828125
2020-12-08 00:00:00+05:00,140.0133844202445,140.86195038642782,130.1700140332826,132.01141357421875,8290000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,138.4435272216797,-6.4321136474609375
2020-12-09 00:00:00+05:00,132.3762975572994,137.87500167652212,131.53621254610425,134.0479736328125,5648000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,132.01141357421875,2.03656005859375
2020-12-10 00:00:00+05:00,135.7281203634023,140.74314820775103,134.07341935965718,139.7333526611328,8272500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,134.0479736328125,5.6853790283203125
2020-12-11 00:00:00+05:00,142.98334988767957,150.213134765625,142.21964577968075,150.213134765625,8961500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,139.7333526611328,10.479782104492188
2020-12-14 00:00:00+05:00,153.68376835888873,161.4735969888182,152.9540011779249,161.3887481689453,8955000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,150.213134765625,11.175613403320312
2020-12-15 00:00:00+05:00,164.6217876305946,165.02909564462826,149.2881953202295,150.44224548339844,10717000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,161.3887481689453,-10.946502685546875
2020-12-16 00:00:00+05:00,153.02189957272034,154.26079861085879,142.13479686227512,147.84564208984375,5584500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,150.44224548339844,-2.5966033935546875
2020-12-17 00:00:00+05:00,149.26275320093086,158.9279193569703,146.88677877563632,158.8260955810547,6384500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,147.84564208984375,10.980453491210938
2020-12-18 00:00:00+05:00,158.596967841576,164.62179115054798,154.43899994535943,156.39918518066406,8899500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,158.8260955810547,-2.426910400390625
2020-12-21 00:00:00+05:00,154.6935528368619,158.25752672030225,148.28687825400976,150.51011657714844,5048000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,156.39918518066406,-5.889068603515625
2020-12-22 00:00:00+05:00,149.3476155347221,150.62046453075666,139.22422940134354,140.09825134277344,5728500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,150.51011657714844,-10.411865234375
2020-12-23 00:00:00+05:00,139.1648247046027,145.9109218491408,136.70398847137912,142.61000061035156,3133500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,140.09825134277344,2.511749267578125
2020-12-24 00:00:00+05:00,145.0199174407963,148.44813117145068,144.2562132557368,145.09629821777344,3451000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,142.61000061035156,2.486297607421875
2020-12-25 00:00:00+05:00,145.09629821777344,145.09629821777344,145.09629821777344,145.09629821777344,0,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.09629821777344,0.0
2020-12-28 00:00:00+05:00,145.95333899021838,146.80190491458012,142.55907529277144,145.22357177734375,2112500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.09629821777344,0.1272735595703125
2020-12-29 00:00:00+05:00,147.64199153037154,149.77188736357854,146.08062037113308,146.7594757080078,5813000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,145.22357177734375,1.5359039306640625
2020-12-30 00:00:00+05:00,148.15962403483888,157.76538411423473,148.15962403483888,157.2138214111328,7951500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,146.7594757080078,10.454345703125
2020-12-31 00:00:00+05:00,158.68182881508065,159.52191374659,153.5904332381262,154.48143005371094,5495000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,157.2138214111328,-2.732391357421875
2021-01-01 00:00:00+05:00,156.0937004133383,159.3182535406632,151.13807848398224,153.08978271484375,5342500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,154.48143005371094,-1.3916473388671875
2021-01-04 00:00:00+05:00,153.92986693341922,154.69358410084732,147.23468172384088,149.60218811035156,2978100,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,153.08978271484375,-3.4875946044921875
2021-01-05 00:00:00+05:00,149.8567597543302,155.16029721805805,147.89656143134118,152.80128479003906,4717800,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,149.60218811035156,3.1990966796875
2021-01-06 00:00:00+05:00,156.5604352651824,158.63941948531883,153.76016472773182,155.33001708984375,4685700,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.80128479003906,2.5287322998046875
2021-01-07 00:00:00+05:00,156.55194138378795,156.98470536971126,150.62046055742567,151.36720275878906,2651200,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,155.33001708984375,-3.9628143310546875
2021-01-08 00:00:00+05:00,152.3175859352054,155.9494471155292,150.70531583156125,152.2242431640625,3043100,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.36720275878906,0.8570404052734375
2021-01-11 00:00:00+05:00,152.74187322097458,154.44748614396343,151.2993136746165,152.61459350585938,2045200,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.2242431640625,0.390350341796875
2021-01-12 00:00:00+05:00,152.74188180526983,154.05716171043315,151.4690327902259,151.73208618164062,1473200,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.61459350585938,-0.88250732421875
2021-01-13 00:00:00+05:00,152.7418852766703,156.54345746253554,151.73208963009122,155.1518096923828,4261200,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.73208618164062,3.4197235107421875
2021-01-14 00:00:00+05:00,155.0754097315843,160.2940845515244,154.0571332969725,156.33128356933594,7958600,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,155.1518096923828,1.179473876953125
2021-01-15 00:00:00+05:00,157.83326109143837,158.2575440513616,153.8874347433878,155.24513244628906,3222900,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,156.33128356933594,-1.086151123046875
2021-01-18 00:00:00+05:00,155.1263477051593,156.0512815335446,150.19618133856514,150.57803344726562,3711400,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,155.24513244628906,-4.6670989990234375
2021-01-19 00:00:00+05:00,150.62045971788618,154.86328956909423,149.60218314321406,151.99513244628906,2387600,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,150.57803344726562,1.4170989990234375
2021-01-20 00:00:00+05:00,153.15766030428045,154.31171041871588,150.1961607225081,152.13088989257812,1504500,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.99513244628906,0.1357574462890625
2021-01-21 00:00:00+05:00,153.08127364331273,153.5819373336667,150.95985902548364,151.6981201171875,1009000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.13088989257812,-0.432769775390625
2021-01-22 00:00:00+05:00,151.89329733841828,152.73338224757936,148.52448965210462,149.98402404785156,1025700,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.6981201171875,-1.7140960693359375
2021-01-25 00:00:00+05:00,150.23010597625648,152.31758385324258,149.85674784487685,151.00230407714844,1149300,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,149.98402404785156,1.018280029296875
2021-01-26 00:00:00+05:00,151.79148442221222,152.61459444660173,150.32345597569292,152.06301879882812,1202200,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,151.00230407714844,1.0607147216796875
2021-01-27 00:00:00+05:00,152.82672543281936,159.44552916639742,152.57215307043063,155.1008758544922,5658100,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.06301879882812,3.0378570556640625
2021-01-28 00:00:00+05:00,155.28757840613292,156.64528918891966,151.46903139614605,152.18182373046875,2726000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,155.1008758544922,-2.9190521240234375
2021-01-29 00:00:00+05:00,151.90179341596476,163.59503173828125,151.89331241736537,163.59503173828125,5464300,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,152.18182373046875,11.4132080078125
2021-02-01 00:00:00+05:00,173.1074419478553,175.85680009892704,171.40182916644545,175.72950744628906,8325300,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,163.59503173828125,12.134475708007812
2021-02-02 00:00:00+05:00,176.41686226430016,181.9325411406012,172.85288773384661,174.10028076171875,7133000,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,175.72950744628906,-1.6292266845703125
2021-02-03 00:00:00+05:00,174.8045799194096,178.62312656813458,172.93773748076174,175.8483123779297,3253800,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,174.10028076171875,1.7480316162109375
2021-02-04 00:00:00+05:00,178.6146316323621,180.74452726891434,173.78628984160648,174.42271423339844,5360100,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,175.8483123779297,-1.42559814453125
2021-02-05 00:00:00+05:00,174.42271423339844,174.42271423339844,174.42271423339844,174.42271423339844,0,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,174.42271423339844,0.0
2021-02-08 00:00:00+05:00,175.2288691227299,178.92013619389704,171.66489471324127,176.79872131347656,3396600,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,174.42271423339844,2.376007080078125
2021-02-09 00:00:00+05:00,178.1733805507469,190.05330298351635,177.87637731069253,188.53436279296875,11828400,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,176.79872131347656,11.735641479492188
2021-02-10 00:00:00+05:00,185.8359490216299,192.60750189476127,183.77393991195217,186.4553985595703,10411900,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,188.53436279296875,-2.0789642333984375
2021-02-11 00:00:00+05:00,184.9619187039649,200.43127214181058,182.44167683004693,191.13099670410156,14443100,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,186.4553985595703,4.67559814453125
2021-02-12 00:00:00+05:00,190.0702919057077,196.01873455714724,181.91557260382663,185.36074829101562,5403400,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,191.13099670410156,-5.7702484130859375
2021-02-15 00:00:00+05:00,186.69298116727194,191.76741463086603,183.08657605036143,189.2726287841797,4295400,0.0,0.0,0.0,ATRL_HISTORICAL_DATA,ATRL,185.36074829101562,3.9118804931640625
