Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol,Company_Name,Previous_Close,Change
2020-08-13 00:00:00+05:00,6.074471484240955,6.333545650120261,6.063446783214595,6.283935546875,3269000,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,,
2020-08-14 00:00:00+05:00,6.283935546875,6.283935546875,6.283935546875,6.283935546875,0,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.283935546875,0.0
2020-08-17 00:00:00+05:00,6.283935546875,6.311496773754221,6.173691165044798,6.283935546875,2862000,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.283935546875,0.0
2020-08-18 00:00:00+05:00,6.283936386848128,6.333546496724768,6.261887507534817,6.2894487380981445,2370000,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.283935546875,0.005513191223144531
2020-08-19 00:00:00+05:00,6.283936395714086,6.283936395714086,6.184716701507568,6.184716701507568,387500,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.2894487380981445,-0.10473203659057617
2020-08-20 00:00:00+05:00,6.162668318303323,6.250863842781395,6.0634480904220975,6.107545852661133,832000,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.184716701507568,-0.07717084884643555
2020-08-21 00:00:00+05:00,6.278425050730169,6.278425050730169,6.0083256009776,6.05793571472168,774000,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.107545852661133,-0.049610137939453125
2020-08-24 00:00:00+05:00,5.986276136498789,6.063447475433349,5.986276136498789,6.06344747543335,799500,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.05793571472168,0.005511760711669922
2020-08-25 00:00:00+05:00,6.06344806640142,6.06344806640142,5.99178907162517,6.05793571472168,1865500,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.06344747543335,-0.005511760711669922
2020-08-26 00:00:00+05:00,6.019349646615103,6.063447403860971,6.008324944460269,6.041398525238037,1049500,0.0,0.0,0.0,DCR_HISTORICAL_DATA,DCR,6.05793571472168,-0.016537189483642578
