Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol,Company_Name,Previous_Close,Change
2020-08-13 00:00:00+05:00,7.210341792185693,7.282191656965819,7.142718484878916,7.184983253479004,1956000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,,
2020-08-14 00:00:00+05:00,7.184983253479004,7.184983253479004,7.184983253479004,7.184983253479004,0,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.184983253479004,0.0
2020-08-17 00:00:00+05:00,7.354042071041384,7.721744537353516,7.269513333660915,7.721744537353516,7075000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.184983253479004,0.5367612838745117
2020-08-18 00:00:00+05:00,7.9034820573884765,8.15706906173099,7.734422979648898,7.780914306640625,1237500,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.721744537353516,0.059169769287109375
2020-08-19 00:00:00+05:00,8.021823465857754,8.24159964999637,7.692159995783358,7.818953514099121,7137000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.780914306640625,0.038039207458496094
2020-08-20 00:00:00+05:00,7.9837847993005635,7.9837847993005635,7.235701793573658,7.248380661010742,19261000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.818953514099121,-0.5705728530883789
2020-08-21 00:00:00+05:00,7.142719744575757,7.489289457177704,7.1215877596155615,7.400534152984619,1445500,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.248380661010742,0.15215349197387695
2020-08-24 00:00:00+05:00,7.434346251599933,7.607631118133394,7.311778474419211,7.34136438369751,545000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.400534152984619,-0.059169769287109375
2020-08-25 00:00:00+05:00,7.497741912945754,7.497741912945754,7.290645415276807,7.337136745452881,1013000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.34136438369751,-0.004227638244628906
2020-08-26 00:00:00+05:00,7.421666193089281,7.4385724260898956,7.248381335500766,7.328684329986572,455000,0.0,0.0,0.0,FABL_HISTORICAL_DATA,FABL,7.337136745452881,-0.008452415466308594
