Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-08-03 00:00:00+05:00,49.67342758178711,51.44747543334961,49.67342758178711,50.24821853637695,220540,0.0,0.0,0.0
2015-08-04 00:00:00+05:00,50.98622512817383,50.98622512817383,49.67342758178711,49.93598556518555,90893,0.0,0.0,0.0
2015-08-05 00:00:00+05:00,51.09266662597656,52.426753997802734,50.028236389160156,51.9938850402832,387531,0.0,0.0,0.0
2015-08-06 00:00:00+05:00,52.50481033325195,53.56924057006836,51.80228805541992,52.86671829223633,245906,0.0,0.0,0.0
2015-08-07 00:00:00+05:00,53.221527099609375,54.28595733642578,52.90929412841797,53.91695785522461,602434,0.0,0.0,0.0
2015-08-10 00:00:00+05:00,53.9382438659668,53.9382438659668,52.618350982666016,52.760276794433594,26070,0.0,0.0,0.0
2015-08-11 00:00:00+05:00,51.27007293701172,53.86018753051758,51.09266662597656,53.86018753051758,345959,0.0,0.0,0.0
2015-08-12 00:00:00+05:00,53.221527099609375,53.221527099609375,52.2138671875,52.23515701293945,58481,0.0,0.0,0.0
2015-08-13 00:00:00+05:00,52.51190948486328,53.221527099609375,51.10686111450195,53.221527099609375,23956,0.0,0.0,0.0
2015-08-14 00:00:00+05:00,53.221527099609375,53.221527099609375,53.221527099609375,53.221527099609375,0,0.0,0.0,0.0
2015-08-17 00:00:00+05:00,53.15056610107422,54.46336364746094,51.44747543334961,52.73898696899414,205039,0.0,0.0,0.0
2015-08-18 00:00:00+05:00,53.07960510253906,54.28595733642578,52.150001525878906,52.15709686279297,85256,0.0,0.0,0.0
2015-08-19 00:00:00+05:00,53.221527099609375,53.931148529052734,53.15056610107422,53.3421630859375,71869,0.0,0.0,0.0
2015-08-20 00:00:00+05:00,53.221527099609375,53.57633972167969,51.16362762451172,53.221527099609375,65527,0.0,0.0,0.0
2015-08-21 00:00:00+05:00,50.915260314941406,53.86018753051758,50.631412506103516,52.71769714355469,83143,0.0,0.0,0.0
2015-08-24 00:00:00+05:00,51.16362762451172,51.16362762451172,50.08500671386719,50.08500671386719,52845,0.0,0.0,0.0
2015-08-25 00:00:00+05:00,51.09266662597656,51.80228805541992,50.737857818603516,51.80228805541992,27479,0.0,0.0,0.0
2015-08-26 00:00:00+05:00,51.80228805541992,51.80228805541992,51.80228805541992,51.80228805541992,26774,0.0,0.0,0.0
2015-08-27 00:00:00+05:00,51.09266662597656,51.80228805541992,51.09266662597656,51.80228805541992,24661,0.0,0.0,0.0
2015-08-28 00:00:00+05:00,51.13524627685547,51.13524627685547,51.12814712524414,51.13524627685547,16205,0.0,0.0,0.0
2015-08-31 00:00:00+05:00,51.09266662597656,51.09266662597656,50.3830451965332,50.3830451965332,37343,0.0,0.0,0.0
2015-09-01 00:00:00+05:00,48.67995834350586,50.20564270019531,48.32514953613281,49.54569625854492,304388,0.0,0.0,0.0
2015-09-02 00:00:00+05:00,50.028236389160156,51.72422790527344,50.028236389160156,51.72422790527344,39457,0.0,0.0,0.0
2015-09-03 00:00:00+05:00,52.44094467163086,52.51190948486328,50.3830451965332,50.404335021972656,31707,0.0,0.0,0.0
2015-09-04 00:00:00+05:00,50.3830451965332,50.3830451965332,49.67342758178711,49.67342758178711,3523,0.0,0.0,0.0
2015-09-07 00:00:00+05:00,48.39611053466797,51.07847595214844,47.61552810668945,48.25418472290039,65527,0.0,0.0,0.0
2015-09-08 00:00:00+05:00,47.54456329345703,49.67342758178711,47.54456329345703,48.523841857910156,20433,0.0,0.0,0.0
2015-09-09 00:00:00+05:00,49.67342758178711,50.70237731933594,48.96380615234375,49.66632843017578,45799,0.0,0.0,0.0
2015-09-10 00:00:00+05:00,48.346435546875,48.96380615234375,48.25418472290039,48.96380615234375,11978,0.0,0.0,0.0
2015-09-11 00:00:00+05:00,48.96380615234375,48.96380615234375,48.96380615234375,48.96380615234375,0,0.0,0.0,0.0
2015-09-14 00:00:00+05:00,49.3186149597168,49.3186149597168,49.276039123535156,49.3186149597168,9159,0.0,0.0,0.0
2015-09-15 00:00:00+05:00,49.311519622802734,49.311519622802734,48.96380615234375,48.96380615234375,2818,0.0,0.0,0.0
2015-09-16 00:00:00+05:00,48.95671081542969,49.67342758178711,48.95671081542969,49.52440643310547,35230,0.0,0.0,0.0
